source,title,company,location,published,deadline,url,matched_in,snippet,status_note
Tvinna,Gagnaforritari / gagnaverkfræðingur,Snjallgögn,Iceland,18. May 2024,,https://www.tvinna.is/jobs/gagnaforritari-gagnaverkfraedingur/,content,"Við leitum að úrræðagóðum gagnaforritara/gagnaverkfræðingi til að viðhalda og þróa nútímaleg gagnainnviði til rekstrar gervigreindarlíkana í viðskiptalegu samhengi. Starfssvið Hönnun, viðhald og þróun á nútímalegum gagnainnviðum og gagnalíkönum. Hönnun, rekstur og þróun á gagnapípum og vinnslum. Náið samstarf við sérf",
Tvinna,Máltækniforritari (NLP),Snjallgögn,Iceland,18. May 2024,,https://www.tvinna.is/jobs/maltaekniforritari-nlp/,content,rf Snjallgögn óska eftir að ráða úrræðagóðan NLP (e. Natural Language Programming) forritara til að hagnýta og sérsníða gervigreindarlíkön í viðskiptalegu samhengi. Í þessu hlutverki samþættir viðkomandi öflugar tæknilausnir til að sjálfvirknivæða úrlausn flókinna áskoranna. Starfssvið Leiða hönnun og innleiðingu framú,
Tvinna,Sérfræðingur í gagnavísindum,Snjallgögn,Iceland,18. May 2024,,https://www.tvinna.is/jobs/serfraedingur-i-gagnavisindum-2/,content,"ngarhæfni og lausnarmiðað hugarfar. Góð samskiptahæfni og hæfni til að vinna í teymi. Brennandi áhugi á nýjustu þróun í gervigreind og málvísindum. Launakjör Samkeppnishæf laun Tækifæri til faglegrar þróunar og símenntunar. Sveigjanlegur vinnutími. Skapandi, jafnvel nýskapandi, vinnuumhverfi. Frekari Upplýsingar Áhugas",
Alfred,Forritari / hugbúnaðarþróunaraðili óskast í spennandi fiskeldis- og tækniverkefni,KAPP ehf,Iceland,2026-05-11T13:15:52Z,2026-05-31T23:59:59Z,https://alfred.is/starf/forritari-hugbunadarthrounaradili-oskast-i-spennandi-fiskeldis-og-taekniverkefni,content,"fnið snýr að vatnsgæðavöktun, IoT-mælibúnaði, gagnasöfnun, greiningu, mælaborðum og síðar tengingu við myndgreiningu og AI-greiningu í fiskeldi. Við leitum að forritara eða hugbúnaðarþróunaraðila sem vill koma að uppbyggingu lausnarinnar frá fyrstu stigum og taka þátt í að þróa kerfi sem getur haft raunverulegt notagil",
Alfred,Hugbúnaðarsérfræðingur,Payday ehf.,Iceland,2026-05-12T15:49:15Z,,https://alfred.is/starf/hugbunadarserfraedingur-112,content,"agnrýna hugsun og ríka þjónustulund. Við leggjum áherslu á að umsækjandi sé framsækinn og nýti nýjustu tól, þar á meðal gervigreind, til að auka gæði og skilvirkni í sínu starfi. Hjá Payday bjóðum við upp á metnaðarfullt starfsumhverfi þar sem nýsköpun og nútímaleg vinnubrögð eru í fyrirrúmi. Nánari upplýsingar veitir",
Alfred,Langar þig að vera AI Orchestrator,TACTICA,Iceland,2026-05-12T10:37:40Z,,https://alfred.is/starf/ai-orchestrator-oskast,title,Langar þig að vera AI Orchestrator Langar þig að vinna í fremstu víglínu gervigreindar? TACTICA leitar að framsýnum og drífandi AI Orchestrator sem þorir að hugsa stórt og er tilbúinn að taka þátt í að móta hvernig fyrirtækið nýtir gervigreind í daglegum rekstri. Langar þig að vinna í fremstu víglínu gervigreindar? TAC,
Alfred,Mannauðsstjóri,Íslandsbanki,Iceland,2026-05-11T13:44:21Z,2026-05-19T23:59:59Z,https://alfred.is/starf/mannaudsstjori-83,content,"ingu þar sem áhersla er lögð á einfaldara skipulag, skýrari ábyrgð, gagnadrifna ákvarðanatöku og aukna nýtingu tækni og gervigreindar. Umsókn skal fylgja ferilskrá og ítarlegt kynningarbréf á íslensku þar sem gerð er grein fyrir ástæðu umsóknar og rökstuðningur um hæfni viðkomandi til að gegna starfinu. Nánari upplýsin",
Alfred,Yfirlögfræðingur,Íslandsbanki,Iceland,2026-05-11T13:43:08Z,2026-05-19T23:59:59Z,https://alfred.is/starf/yfirloegfraedingur-8,content,"ingu þar sem áhersla er lögð á einfaldara skipulag, skýrari ábyrgð, gagnadrifna ákvarðanatöku og aukna nýtingu tækni og gervigreindar. Umsókn skal fylgja ferilskrá og ítarlegt kynningarbréf á íslensku þar sem gerð er grein fyrir ástæðu umsóknar og rökstuðningur um hæfni viðkomandi til að gegna starfinu. Nánari upplýsin",
Störf.is,Tæknistjóri hugbúnaðarþróunar,Reykjavíkurborg,"Reykjavík, Höfuðborgarsvæði",2026-05-12T03:04:08.811572Z,,https://reykjavik.is/job/42793,content,"rarkitektúr, þar á meðal samþættingar milli kerfa og hönnun gagnalausna Meta og innleiða nýja tækni og vinnubrögð, m.a. gervigreind Taka virkan þátt í kóðarýni og þróun hugbúnaðarlausna eftir þörfum (t.d. með .NET og React/TypeScript) Byggja og viðhalda skalanlegum, öruggum og rekstrarhæfum lausnum í skýjaumhverfi Azur",
Tvinna,Leiðandi forritari,Careflux,Iceland,20. Dec 2024,,https://www.tvinna.is/jobs/leidandi-forritari/,content,andi forritari Careflux 20. Dec 2024 Fullt starf Ertu drífandi reynslumikil manneskja með brennandi áhuga á forritun og gervigreind? Langar þig til að vinna að nýjum lausnum fyrir heilbrigðiskerfið? Þá erum við hjá Careflux að leita að þér! Við þróum hugbúnaðarlausnir sem nýta mállíkön og önnur gervigreindarlíkön til a,
